 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Warum bekommen die Bediensteten des Vatikan ein doppeltes Gehalt, wenn der Papst stirbt?;Früher haben die Bediensteten die Gemächer des Papstes nach seinem Tod geplündert- um sie davon abzuhalten, versprach man ihnen ein doppeltes Gehalt – dieses doppelte Gehalt bekommen die Bediensteten noch heute bei Ableben des Papstes.;
Warum bekommen die Einwohner von Colmar Hühner von ihrer Stadt?;Als natürliche Biomüllschlucker, um bei der Müllverbrennung Geld zu sparen.;
Warum bekommen die Einwohner von Glessen jedes Jahr Post von der Feuerwehr?;Der Ort gehört postalisch zu Bergheim, aber telefonisch zu Pulheim. Der Anfahrtsweg von Bergheim ist jedoch kürzer. Damit bei einem Notfall die 'richtige' Feuerwehr angerufen wird, verschickt diese einen Infobrief mit einer neu eingerichteten Telefonnummer 6060 der Feuerwehr.;
Warum bekommen Fluggäste bei der Landung im amerikanischen Milwaukee regelmäßig einen großen Schrecken?;"Auf einem Hausdach in der Einflugschneise steht groß ""Welcome to Cleveland"".";
Warum bekommen Touristen in einem Allgäuer Luftkurort zur Begrüßung gelbe Tücher in die Hand gedrückt?;(die Tücher sind 50 x 50 cm groß- seit Mai 2007 werden diese in Oy-Mittelberg an Touristen ausgegeben) Jeder Tourist bekommt solch ein gelbes Tuch, auf dem „Nimm-mich-mit“ steht. In Oy-Mittelberg ist die Luft auch so rein, da es dort kaum öffentliche Verkehrsmittel gibt. Damit Touristen trotzdem zum Einkaufen, in Kneipen usw. kommen, nehmen sie ihr Tuch und wedeln damit herum. Die Einheimischen nehmen die Touristen dann kostenlos in ihrem privaten Auto mit, wenn sie mit dem Tuch wedeln. Da die Einheimischen ja wissen, dass die Touristen Geld in die Stadtkasse bringen.;
Warum bekommt ein Modesalon in Kanada immer mal wieder den Auftrag, eine DDR-Flagge zu schneidern?;Auf dem Olympiastadium von Montreal sind die Flaggen der Staaten gehisst, die 1976 an den Sommerspielen teilgenommen haben – auch die DDR. Weil die Flaggen alle paar Jahre erneuert werden, muss die der DDR dort neu geschneidert werden;
Warum bekommt jeder Gast eines Chinarestaurants in Bayern nach dem Essen eine Taschenlampe gebracht?;Zum Pflaumenschnaps gibt es die Taschenlampe. Am Grund des Schälchens mit dem Schnaps ist ein Bild von einem nackten Mann oder einer nackten Frau, die man sieht, wenn man mit der Lampe reinleuchtet.;
Warum bekommt jeder Gast eines Restaurants in Ostfriesland einen Plastikhummer in die Hand gedrückt?;Dieses Fischrestaurant ist ein Selbstbedienungsrestaurant: Man bestellt etwas und setzt sich dann (mit dem Plastikhummer) an einen Tisch. Wenn das Essen fertig ist leuchtet der Hummer (ferngesteuert aus der Küche) und der Gast weiß, dass er das Essen holen kann.;
Warum bekommt man bei „Burger King“ in Trier 15 % Rabatt auf alles, wenn man an der Kasse einfach nur dreist lügt?;Wenn man als Linksabbieger zu diesem Burger King will, muss man sehr lange fahren, deshalb bekommen Linksabbieger Rabatt. Wenn man behauptet einer zu sein, bekommt man Rabatt, weil man die Aussage nicht überprüfen kann.;
Warum bekommt man nach dem Einatmen von Helium eine sogenannte „Mickey Maus Stimme“?;Die Tonhöhe verändert sich, weil der im Mundraum erzeugte Schall sich in Helium schneller fortpflanzt als in Luft. Die höhere Schallgeschwindigkeit hat zur Folge, dass jeder Laut in höhere Frequenzen umgesetzt wird.;
Warum bemühen sich japanische Autofahrer auf einigen Straßenabschnitten des Landes exakt 50 km/h zu fahren?;In diesem Straßenabschnitt sind (in bestimmten Abschnitten) Rillen eingefräßt. Fährt ein Auto mit exakt 50 km/h über diese Rillen erzeugen sie im Inneren des Autos eine Melodie. (Melodieroads);
Warum benahm sich die Ziegenherde eines Pfälzer Hirten im November 2012 außergewöhnlich?;Die Tiere wurden Tage zuvor auf eine Weide gebracht, auf der sie normalerweise Wildkräuter fressen. Allerdings gab es dort auch eine kleine Hanfplantage auf der Weide, sodass die Ziegen hinterher bekifft waren.;
Warum benutzte am 29.Juni 2009 an der Stockholmer U-Bahn-Station Odenplan kaum jemand die Rolltreppe?;Weil die Treppe (neben der Rolltreppe) als Musikinstrument-Installation (Klavier – jede Stufe eine Taste) für die Passanten viel interessanter zu benutzen war. Das Berühren der Stufen wurde durch Drucksensoren erkannt und es erklang der entsprechende Ton.;
Warum beschäftigt der Hamburger Flughafen einen eigenen Imker?;Zur Überwachung der Luftqualität anhand des Testhonigs des Bienenpersonals.;
Warum beschäftigt ein Wiener Süßwarenhersteller einen Steinmetz, der in einem rosaroten Overall herumläuft?;Der Wiener Süßwarenhersteller Manner hat den Stephansdom auf der Verpackung seiner Mannerschnitten. Die Firma übernimmt daher seit 1978 das volle Gehalt eines Steinmetzes der am Stephansdom arbeitet. Dieser Steinmetz trägt einen Overall mit der Firmenfarbe rosa.;
Warum beschießt ein in Amerika lebender Falter das Weibchen vor dem Sex mit giftigen Spinnfäden?;(Die Paarung dauert bis zu neun Stunden – also ein Quickie J ) Das Männchen beschießt das Weibchen zu ihrem Wohl mit giftigen Fäden. So ist das Weibchen bis zur Eiablage vor ihrem natürlichen Feind, der Spinne, geschützt und die Nachkommenschaft ist gesichert.;
Warum besichtigt das Vieraugenmännchen erst mal die Schuppen des Weibchens, bevor es Sex mit ihm hat?;Die Schuppen zeigen, auf welcher Seite sich das Geschlechtsteil befindet.;
Warum besitzt die männliche Schwimmbeutelratte einen Beutel, in dem sie ihren Hodensack verstauen kann?;Damit sie beim Schwimmen aerodynamischer und dadurch schneller ist.;
Warum bespricht ein Bewohner der Insel Helgoland im Sommer jeden Tag seinen Anrufbeantworter neu?;Die Anrufer sind die Gastronomen der Insel, die jeden Morgen im Sommer so erfahren können, wie viele Touristen auf der Insel erwartet werden. Ein Angestellter der Gemeinde kontaktiert jeden Morgen die Kapitäne der Fahrgastschiffe, um die Besucherzahlen festzustellen- dann bespricht er seinen Anrufbeantworter, damit man in den Restaurants weiß, auf wie viele Gäste man sich zirka vorbereiten muss.;
Warum bespritzt das Spritzsalmler-Männchen ständig Blätter am Ufer des Gewässers, in dem es lebt?;Die Weibchen springen kurz vor dem laichen aus dem Wasser, halten sich an einem Blatt fest und legen die Eier (aus Schutz vor Fressfeinden) auf den Blättern ab. Die Männchen haben die Aufgabe, diese Eier vor dem Austrocknen zu schützen und dafür spritzen diese Fische ständig Wasser auf die Blätter mit den Eiern.;
Warum bestreitet die Eintracht Fuhlsbüttel in Hamburg nur Heimspiele?;In diesem Fußballverein sind Gefängnisinsassen vollwertige Mitglieder und nehmen seit 1976/77 auch am Spielbetrieb teil. Daher müssen alle Spiele zuhause ausgetragen werden.;
Warum besuchen 166 Menschen das Münchner Olympiastadion regelmäßig ganz in weiß?;Sie machen bei Heimspielen des FC Bayern München Werbung für deren Sponsor (Telekom). Diese 166 sind Azubis von der Telekom und bilden das Telekom-Logo. Bei Champions-League-Spielen ist diese Art von Werbung nicht erlaubt!;
Warum betreten die Gläubigen im mexikanischen San Juan Chamula ihre Kirche oft mit einer Flasche Cola in der Hand?;Die Menschen die dort leben sind Nachfahren der Mayas. Ihre Religion ist eine Mischung aus Katholizismus und überlieferten Glaubensritualen. Um das Böse (dazu gehören auch Krankheiten) aus ihrem Körper rauszubekommen, nehmen sie oft eine Cola mit in die Kirche und trinken diese dann möglichst schnell, damit sie oft und laut rülpsen. Jeder Rülpser ist nach traditioneller Glaubensvorstellung ein Anzeichen dafür, dass das Böse den Körper verlässt.;
Warum bevorzugen Grauwale Sex zu dritt?;Die Penislänge des Grauwals beträt 2,50m. Er benötigt ganz einfach Hilfe beim Verkehr.;
Warum bewerfen die Trainer von Football-Mannschaften immer wieder Schiedsrichter mit einem roten Stofflappen?;Wenn die Schiedsrichter eine Entscheidung treffen, die nach Meinung des Trainers falsch war, können sie diesen roten Stofflappen werfen und so den Videobeweis verlangen. Wenn die Entscheidung (durch das Video bewiesenermaßen) falsch war, wird das Ergebnis korrigiert. Beweist das Video jedoch, dass die Schiedsrichterentscheidung richtig war, verliert die Mannschaft eine Auszeit. (Deshalb wird dieser rote Lappen vom Trainer nur geworfen, wenn er sich sehr sicher ist, dass eine Schiedsrichterentscheidung falsch war);
Warum bewerfen sich die Leute in Santa Cruz/La Palma einmal im Jahr auf der Straße mit Babypuder?;Es erinnert an die Rückkehr von den reichen Emigranten, die ihren Reichtum durch weiße Kleidung zur Schau stellten. Als Parodie auf diese Reichen bewerfen sich die Menschen dort zu Karneval mit Babypuder (früher mit Mehl) .;
Warum bewerfen sich in Stade einmal im Jahr Menschen in Abendgarderobe mit Papierkugeln.;Im Mittelalter war es ein Brauch der ansässigen vier Bruderschaften sich einmal im Jahr zu einem großen Gelage zu treffen. Zwischen den einzelnen Gängen bewarfen sich die Teilnehmer gegenseitig mit den abgenagten Knochen. Dabei wurde aufgezeichnet, wer wie viele geworfen hat. Pro geworfenen Knochen musste dann ein Strafobolus gezahlt werden. Das Geld das so zusammenkam wurde schließlich für einen wohltätigen Zweck gespendet. Heute treffen sich die Mitglieder dieser Bruderschaften immer noch jedes Jahr zu einem mehrgängigen Menü. Allerdings bewerfen sie sich mit Papierkugeln und müssen pro Papierkugel zahlen. Der Gesamterlös daraus wird gespendet.;
Warum bezahlen viele Autofahrer in Jakarta Geld dafür, dass sie einen Bettler mit in die Stadt nehmen dürfen.;In Jakarta gilt ein Fahrverbot für PKW mit weniger als 3 Insassen zwischen 7-10 Uhr und 16-19 Uhr. Um doch fahren zu dürfen werden die Bettler mitgenommen. Diese sahen darin eine neue Einnahmequelle.;
Warum bezahlt die Stadt Havanna einen Mann dafür, dass er den ganzen Tag eine Brille ohne Gläser mit sich herumträgt?;Im Jahr 2000 wurde in Havanna ein Denkmal von John Lennon errichtet. Das Denkmal stellt John Lennon dar, der auf der Bank sitzt. Dieses Denkmal hat natürlich eine runde Brille, wie John Lennon hatte. Diese Brille wurde schon des Öfteren geklaut. Nun ist es so, dass wenn sich jemand mit dem Denkmal fotografieren will, kommt der Mann und setzt dem John Lennon-Denkmal die Brille auf. Ist man fertig mit fotografieren, nimmt er die Brille wieder weg. So kommt es, dass die Stadt Havanna diesen Mann bezahlt, dass er den ganzen Tag eine Brille ohne Gläser mit sich herumträgt.;
Warum bezahlt die Stadt Köln Männer dafür, dass sie Jagd auf Frauen mit Stöckelschuhen macht?;Männer schieben Dienst auf dem Heinrich-Böll-Platz. Dieser liegt direkt über dem Konzertsaal der Philharmonie. Jedoch ist die Schalldämmung in der Decke nicht in Ordnung. Wenn jemand mit Absätzen über den Platz läuft, hallt es im Konzertsaal. Es ist kein Geld für eine neue Decke da- Männer hindern Personen mit klackernden Absätzen daran, den Platz zu überqueren, wenn eine Veranstaltung läuft.;
Warum bezahlte die Stadt Mannheim monatelang einen Mann dafür, dass er fünf Löcher beobachtete?;(30.000 € hat die Stadt dafür bezahlt- der Mann machte das von April bis Oktober, morgens bis abends) Die fünf Löcher sind moderne Kunst. Sie befinden sich in den Böden aller Etagen der Mannheimer Kunsthalle. Die Löcher sind über- bzw. untereinander angeordnet, sodass man von oben bis unten einen durchgehenden Blick durch die Löcher hat. Wenn nun allerdings ein Feuer ausbrechen sollte, könnte sich das Feuer durch die Löcher in alle Etagen ausbreiten. Deswegen musste ein Mann von der Feuerwehr monatelang diese fünf Löcher beobachten, falls es brennen sollte.;
Warum bezog 2003 ein Privatmann mit einem Panzer Stellung vor dem Londoner Flughafen Luton?;Michael O’Leary, der Chef von Ryan Air, wollte seinen Konkurrenten von Easy Jet zur Kapitulation zwingen. Vor dem Flughafen stieg er auf seinen Panzer und forderte die Belegschaft von Easy Jet auf, sich möglichst schnell eine neue Arbeit zu suchen. O’Leary hatte sein Ziel erreicht: Seine Aktion war in allen Nachrichten.;
Warum biegen UPS-Paketfahrzeuge nach Möglichkeit nie nach links ab?;Weil es zu viel Zeit bei der Paketauslieferung kostet.;
Warum bietet ein Rolls-Royce-Händler seinen Kunden offiziell Probefahrten in einem BMW an?;Der Rolls-Royce-Händler macht dies, um potenziellen Käufern die Angst vor Sozialneid zu nehmen. Die Kunden bekommen die Möglichkeit, in einem BMW hinter dem Rolls Royce zu fahren, um beobachten zu können, wie die Leute in verschiedenen Stadtvierteln auf den Rolls Royce reagieren.;
Warum bilden sich einmal im Monat an den Bushaltestellen in Peking lange Warteschlangen?;Sie üben seit dem 11.Februar 2008 jeden 11. im Monat Schlangestehen für die bevorstehenden Olympischen Spiele in Peking. (die beiden 1er symbolisieren zwei hintereinander stehende Menschen);
Warum bleiben die Kirchturmglocken in Neustadt am Kulm um 20 Uhr stumm und läuten stattdessen fünf Minuten früher?;Weil um 20 Uhr die Tagesschau beginnt, läuten die Glocken fünf Minuten früher, damit niemand die Nachrichtensendung verpasst.;
Warum bleibt im britischen Parlament jedes Mal ein Stuhl frei, wenn die Queen dort ihre Thronrede hält?;Ein Abgeordneter bleibt im Buckinghampalast als „Pfand“, bis der König/die Königin zurückgekehrt ist. (Eingeführt im 17.Jahrhundert, als es während dem Bürgerkrieg Konflikte zwischen dem Parlament und dem Königshaus gab);
Warum bleibt im Zuschauerraum eines Wiener Kinos bei zwei Vorstellungen im Monat das Licht an?;(Das Kino befindet sich im 9. Wiener Bezirk). Zwei Mal im Monat findet in diesem Wiener Kino eine Vorstellung für Mütter mit ihren kleinen Kindern und Babys statt. Dabei wird der Ton leiser gestellt, damit die Babys schlafen können, und das Licht angelassen, damit die Babys leichter zu beruhigen sind und damit die Mütter, wenn sie mit ihren Babys rumlaufen, um sie zu beruhigen, nirgends dagegen stoßen.;
Warum blieb die Kirchenorgel von Halberstadt vom 5.9.2001 bis zum 5.2.2003 mit voller Absicht stumm?;Es wurde ein Musikstück von John Cage aufgeführt, dass am 5.9.2001 mit einer möglichst langen Pause begann. Am 5.2.2003 folgte dann ein Akkord bis 5.7.2004, Fortsetzung folgt... (Gesamtdauer wird auf über 600 Jahre geschätzt);
Warum blieben die ersten vollautomatischen Waschmaschinen absolute Ladenhüter?;1899 hatten sie noch keine Bullaugen. Die Leute wollten sehen, wie die Wäsche gereinigt wird.;
Warum blüht der Leberwurstbaum nur nachts?;Die Früchte sind so groß, dass sie von Fledermäusen (nur nachts) bestäubt werden.;
Warum bohrt eine Amazonas-Ameise kleine Löcher in Pilze und kriecht anschließend in diese Löcher rein?;Um an ihre Nahrung zu gelangen: Diese ca. 2 mm großen Ameisen warten in diesen Löchern darauf, dass ein Grashüpfer vorbeikommt. Wenn dieser seine Beine in die kleinen Löcher steckt, packt die Ameise ihn am Bein und zieht den Grashüpfer so tief wie möglich in das Loch hinein. Durch seine Versuche zu entkommen wird der Grashüpfer wie auf einer Streckbank in die Länge gezogen. Wenn er sich nicht mehr wehren kann, injiziert die Ameise ihm noch Gift.;
Warum brach 1987 unter den Zuschauern des Länderspiels Brasilien-Deutschland in Brasilia plötzlich ein Riesengelächter aus?;Ein deutscher Spieler wurde eingewechselt. Sein Name, Franco Foda, bedeutet auf portugisisch: umsonst ficken. Als der Stadionsprecher diesen Namen sagte brach das Gelächter aus.;
Warum brach Schiedsrichter Ahlenfelder 1975 die Partie Bremen gegen Hannover völlig überraschend schon nach 30 min. ab?;Er war besoffen und meinte, dass eine Halbzeit nur 30 Min. dauert. Nach 10 Minuten konnten Trainer und Linienrichter ihn überreden, die fehlenden 15 Minuten dranzuhängen.;
Warum brachen in Weatherford in Texas mehrere Häftlinge aus einer Arrestzelle und flohen dann aber nicht?;Die Häftlinge brachen aus, um einen diensthabenden Wächter zu retten, der vor ihren Augen einen Herzinfarkt erlitt.;
Warum brüllten 25.000 Zuschauer in der Halbzeitpause eines Kricket-Spiels 20 Minuten wie die Verrückten?;Im Februar 2002 wurden in einem Kricket -Stadion in Neuseeland, in der Halbzeitpause, die Schreie der Orks für „Herr der Ringe“ aufgenommen.;
